;Sterivex filter_1.0;Sterivex filter_2.0;Sterivex filter_3.0;Sterivex filter_4.0;crush_2.0;crush_3.0;crush_4.0
"9a5e022c06b5ee7ec23f9fb60f86b12bd__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae; s__";0;0;0;0;0;1;0
"9ac92a1fdb2f8e75c367e2623913818ad__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__";0;0;0;0;1;1;0
"9bfb59a71f098cb3c6b197decfc88722d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__";0;0;0;0;0;1;1
"9c957127c55e17abeb1d06efc7a2ebe3d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae";1;0;0;1;1;1;1
"a444b733d825cd14248f4e2a5130d6fed__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus; s__";1;1;1;1;0;1;1
"a4ead2d6e1dfbe9bac79343c0807b32bd__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__SM1A02; s__";0;0;0;0;1;1;1
"a83021b5d55f7fd6f104c66f038142c5d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thiothrix; s__";1;1;1;1;1;1;1
"abe88903973dc2088d616a0defca7ca0d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thiothrix; s__";0;0;0;1;1;1;1
"adc8bed87e4e389d241d87e50cabcef0d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Sulfuritalea; s__";0;0;0;0;1;1;0
"b64c8cc45f8186c132b63a461515bcccd__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Parvibaculum; s__";0;0;0;0;1;1;0
"b9e3c4960d51d7c879f726f4d3090d83d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia; o__Hydrothermarchaeales; f__Hydrothermarchaeales; g__Hydrothermarchaeales; s__";1;1;1;1;0;1;0
"bfb54b09ecf8153a9f6645f0242ab560d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Vermiphilaceae; s__";0;0;0;0;1;1;0
